Stadtname,type,kurzname,DOMAIN,Open Data Portal,Kontakt Mail,Lat,Lon,modified,sourced-from-m,sourced-from-d,sourced-from-c,sourced-from-b,sourced-from-g,catalog-sources,percentopen
Nürnberg,Stadt,nuernberg,http://nuernberg.de,,-,49.4538723,11.0772978,2014-12-11,0,0,0,2,9,offenedaten.de,0.0
Bitburg,,bitburg,,,,49.9732762,6.524947,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Gundersheim,,gundersheim,,,,49.6919633,8.19467402299804,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Rheinland-Pfalz,Land,rheinlandpfalz,http://rlp.de,http://daten.rlp.de,,49.7497346,7.4396553,2014-12-11,0,1246,3,0,0,"offenedaten.de,daten.rlp.de",0.99679743795036
Verbandsgemeinde Heidesheim am Rhein,,verbandsgemeindeheidesheimamrhein,,,,50.00275895,8.12045156609348,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Zapfendorf,Stadt,zapfendorf,http://zapfendorf.de,,poststelle@zapfendorf.de,50.0171801,10.9314384,2014-12-11,0,0,0,2,0,offenedaten.de,0.0
Verbandsgemeinde Ruwer,,verbandsgemeinderuwer,,,,49.7616878,6.7289246,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Bad Dürkheim,,badduerkheim,,,,49.4632944,8.1705063,2014-12-11,0,9,0,0,0,daten.rlp.de,1.0
Stuttgart,Landeshauptstadt,stuttgart,http://stuttgart.de,,post@stuttgart.de ,48.7763511,9.1829049,2014-12-11,17,1,141,9,116,"offenedaten.de,govdata.de",0.0
Zwickau,Stadt,zwickau,http://zwickau.de,,buergerservice@zwickau.de,50.7185043,12.4939267,2014-12-11,0,0,0,1,0,offenedaten.de,0.0
Zweibrücken,,zweibruecken,,,,49.2534991,7.37060801928933,2014-12-11,0,62,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Vallendar,,verbandsgemeindevallendar,,,,50.4001381,7.6142479,2014-12-11,0,118,0,0,0,daten.rlp.de,1.0
Braunschweig,,braunschweig,,,,52.27165645,10.5203138303942,2014-12-11,0,158,0,0,0,"govdata.de,geoportal.braunschweig.de",0.0506329113924051
Verbandsgemeinde Hamm (Sieg),,verbandsgemeindehammsieg,,,,50.7666871,7.6783886319334,2014-12-11,0,4,0,0,0,daten.rlp.de,1.0
Farschweiler,,farschweiler,,,,49.7155246,6.8280448,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Lahnstein,,lahnstein,,,,50.3090305,7.6044602,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Berlin,Stadt,berlin,http://berlin.de,http://daten.berlin.de,Info@Berlin.de,52.5170365,13.3888599,2014-12-11,0,843,0,118,256,"offenedaten.de,datenregister.berlin.de",0.221035332785538
Münster,Stadt,muenster,http://muenster.de,http://www.muenster.de/stadt/katasteramt/geodatenmanagement.html,redaktion@muenster.de,51.9625101,7.6251879,2014-12-11,0,0,1,0,3,offenedaten.de,0.25
Verbandsgemeinde Altenkirchen (Westerwald),,verbandsgemeindealtenkirchenwesterwald,,,,50.68765685,7.63860730956498,2014-12-11,0,9,0,0,0,daten.rlp.de,1.0
Burg,,burg,,,,50.0482252,6.1326691,2014-12-11,0,3,0,0,0,govdata.de,0.0
Urbar,,urbar,,,,50.1316205,7.7202693,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Bendorf,,bendorf,,,,50.4238296,7.5732901,2014-12-11,0,2,0,0,0,daten.rlp.de,1.0
Spiekeroog,,spiekeroog,,,,53.7666185,7.72555904783462,2014-12-11,0,1,0,0,0,govdata.de,0.0
Wangerooge,,wangerooge,,,,53.7834917,7.93518076593744,2014-12-11,0,1,0,0,0,govdata.de,0.0
Daxweiler,,daxweiler,,,,49.966518,7.7527726,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Dernbach,,dernbach,,,,49.2375602,8.004028,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Leipzig,Stadt,leipzig,http://leipzig.de,,online-redaktion@leipzig.de ,51.340462,12.3747049,2014-12-11,0,0,0,0,55,offenedaten.de,0.0
Duisburg,Stadt,duisburg,http://duisburg.de,,info@stadt-duisburg.de ,51.44620175,6.742075968,2014-12-11,0,0,0,0,15,offenedaten.de,0.0
Butjadingen,,butjadingen,,,,53.545725,8.35288707942149,2014-12-11,0,1,0,0,0,govdata.de,0.0
Dudenhofen,,dudenhofen,,,,49.3153979,8.386219,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Nationalpark Harz,,nationalparkharz,,,,51.78459855,10.5828622707056,2014-12-11,0,9,0,0,0,govdata.de,1.0
Simmern,,simmern,,,,50.389471,7.6734439,2014-12-11,0,195,0,0,0,daten.rlp.de,1.0
Hamburg,Freie und Hansestadt,hamburg,http://hamburg.de,http://transparenz.hamburg.de,info-office@hamburg.de,53.5437641,10.0099133,2014-12-11,0,2027,0,33,136,"offenedaten.de,transparenz.hamburg.de",0.883879781420765
Speyer,,speyer,,,,49.3165553,8.433615,2014-12-11,0,10,0,0,0,daten.rlp.de,1.0
Verbandsgemeinde Waldfischbach-Burgalben,,verbandsgemeindewaldfischbach-burgalben,,,,49.28576,7.6584288,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Ilmenau,,ilmenau,,,,50.6867695,10.9142385,2014-12-11,0,1,0,0,0,govdata.de,1.0
Rostock,Hansestadt,rostock,http://rostock.de,http://opendata-hro.de ,ulrich.kunze@rostock.de,54.0924445,12.1286127,2014-12-11,0,122,1,0,28,"offenedaten.de,opendata-hro.de",0.80794701986755
Andernach,,andernach,,,,50.4354202,7.3993254,2014-12-11,0,158,0,0,0,daten.rlp.de,0.987341772151899
Aachen,Stadt,aachen,http://aachen.de,http://daten.aachen.de,,50.776351,6.0838618,2014-12-11,0,7,0,0,0,daten.aachen.de,1.0
Verbandsgemeinde Rülzheim,,verbandsgemeinderuelzheim,,,,49.1539607,8.2911891,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
Schnackenburg,,schnackenburg,,,,53.0369826,11.5657431,2014-12-11,0,1,0,0,0,govdata.de,0.0
Wiesbaden,Landeshauptstadt,wiesbaden,http://wiesbaden.de,,online-redaktion@wiesbaden-marketing.de,50.0833,8.25,2014-12-11,0,0,0,1,0,offenedaten.de,0.0
Schmißberg,,schmissberg,,,,49.6645257,7.2038888,2014-12-11,0,1,0,0,0,daten.rlp.de,1.0
