Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,,,,,,x,,,,,,Landschaftsrahmenplan Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=538b3bdb-e7f7-4d93-b3e8-fc92086ff178,other-closed,,d
,,,,,,,,,,x,,,,,,Biotoptypen im Bereich der Stadt Braunschweig (Datenserie),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=783c78c8-5c53-4c98-889d-bb18193e3799,other-closed,,d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig aus dem Bildflug 2005,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=e1f2bf62-a573-4636-a979-d78389d41d15,other-closed,TIFF,d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig aus dem Bildflug 2008,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=e7bc0518-39c7-463e-a6c1-3e02d28425a5,other-closed,TIFF,d
,,x,,,,,,,,,,,,,,Spielplätze im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=2a39ead9-6c3d-4390-be56-c37fe6a87812,other-closed,"PDF,Papierkarte",d
,,,,,,,,,,x,,,,,,Lärmkartierung - Lärmminderungsplanung im Bereich der Stadt Braunschweig (Anwendung),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=744a474c-4907-46f2-a0fc-e5562b2857a4,other-closed,,d
,,x,,,,,,,,,,,,,,Stadtkarte (Raumbezugsebene 2),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=84171265-2565-415a-8d90-697577315447,other-closed,"TIFF,SHAPE,DXF",d
,,x,,,,,,,,,,,,,,Infrarot-Luftbilder - Digitale CIR-Orthofotos der Stadt Braunschweig aus dem Bildflug 2008,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=c3f6f555-8d95-462e-8f91-35d56b170cc0,other-closed,TIFF,d
,,x,,,,,,,,,,,,,,Luftbilder - Schrägaufnahmen von Teilen der Stadt Braunschweig aus dem Bildflug 2007,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=48693a32-0cc7-4061-9783-8af23111e8e3,other-closed,"TIFF,JPG",d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig (Datenserie),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8084de44-173a-46d8-bc8d-3029c50d826d,other-closed,TIFF,d
,,,,,,,,,x,,,,,,,Fußgänger-Leitsystem der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=adbf4399-27ef-4b3b-a489-355f5a1bd1ae,other-closed,,d
,,x,,,,,,,,,,,,,,Stadtinformationsanlagen - City-light-Poster im Stadtgebiet Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=71bb9989-25bd-44a8-bc79-1c2ed43028ca,other-closed,,d
,,,,,,,,,,x,,,,,,Lärmkartierung - Lärmminderungsplanung im Bereich der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b05ce66b-1065-4fd6-bc01-3233b934b7a3,other-closed,,d
,,x,,,,,,,,,,,,,,Cityservice,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=8c8b8843-1a21-46e5-892c-40a0099b5f23,other-closed,,d
,,,,,x,,,,,,,,,,,Innenstadtspielfährte,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=3a081946-2c33-427d-8002-964fffc30773,other-closed,,d
,,,,,x,,,,,,,,,,,Straßenbilder,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b6dc4ef4-5cfd-4313-9ed0-2a1b05de8141,other-closed,,d
,,x,,,,,,,,,,,,,,Stadtplan Braunschweig (Raumbezugsebene 3),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=85c4b6e6-ac4b-4882-a2ea-fed72b8f6e95,other-closed,"TIFF,SHAPE,DXF",d
,,x,,,,,,,,,,,,,,Open GeoData Stadtplan Braunschweig 1:20.000,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=d7ed2d5b-af2c-49c5-98c1-1ddaf4d21b42,other-closed,,d
,,x,,,,,,,,,,,,,,Braunschweig-APP (Anwendung),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=9615fc51-af9b-4767-9f86-b238d2acce09,other-closed,,d
x,,,,,,,,,,,,,,,,Altersstrukturen in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=470227f1-8651-4aad-ad1a-419795b8be00,other-closed,,d
x,,,,,,,,,,,,,,,,Bevölkerungsprognose der Stadt Braunschweig 2012 - 2030,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b4eef10c-f02b-470f-98f7-ffc6836ada84,other-closed,,d
,,,,,,,,,,x,,,,,,Klima- und immissionsökologische Funktionen in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=332e0343-001c-4c27-9838-c68f9eaed069,other-closed,,d
,,,,,x,,,,,,,,,,,Stadtrundgang Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=5382d86a-d2ee-4340-9a2a-6a8e0c0f9c72,other-closed,,d
,,x,,,,,,,,,,,,,,Parkrundgang in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b8e46c1a-88fe-4c5d-aabe-d5b1084e69c8,other-closed,,d
,,x,,,,,,,,,,,,,,Open GeoData Stadtkarte Braunschweig 1:5.000,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=2e492039-2dfa-4c52-a86f-3141375ab6e0,other-closed,,d
,,x,,,,,,,,,,,,,,Braunschweig-APP,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=704f0324-4c7d-42e3-949d-d47efb128245,other-closed,,d
,,x,,,,,,,,,,,,,,Braunschweig in der Metropolregion,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=1d96a5ea-bf65-45c4-a02f-d7c853c1cac1,other-closed,,d
,,x,,,,,,,,,,,,,,Bewertung bebauter Grundstücke im Stadtgebiet Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=60167db3-c6e1-4cab-92ad-23cd365ba3ad,other-closed,,d
,,x,,,,,,,,,,,,,,Höheninformationen - aus der Laserscanbefliegung der Stadt Braunschweig 2003,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=fd45be99-89ca-4a8d-8568-ff0d522ddef1,other-closed,"TIFF,ASCII",d
,,x,,,,,,,,,,,,,,Flächennutzungsplan der Stadt Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=02caf86f-4e10-4ab5-8bc5-77452c0bcdbc,other-closed,"PDF,Papierkarte",d
,,x,,,,,,,,,,,,,,Spielplatzplan,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b719c9fe-9038-4f5b-8d04-1958adbf07e5,other-closed,Papierkarte,d
,,x,,,,,,,,,,,,,,Schulen in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=f4aca0e3-b268-4aba-ae07-67b69b73bce7,other-closed,,d
,,x,,,,,,,,,,,,,,Höheninformationen aus Laserscanbefliegungen im Bereich der Stadt Braunschweig (Datenserie),http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=3c37eef8-8a3a-4538-b56f-4dcf63261d8a,other-closed,"DGM,DOM,DGM,DOM",d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig aus dem Bildflug 1998,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=188e8f3a-0871-45fb-b313-48264cdb33d6,other-closed,"TIFF,JPG",d
,,x,,,,,,,,,,,,,,Geoportal FRISBI,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=fbf9ca85-d0e1-4682-89c9-ed65cdacf08d,other-closed,,d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig aus dem Bildflug 2001,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=6a5e884a-71b1-4754-a79d-d781bd0fe525,other-closed,TIFF,d
,,x,,,,,,,,,,,,,,Luftbilder - Digitale Orthofotos der Stadt Braunschweig aus dem Bildflug 2011,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b4691f5a-5aec-4475-a3dc-8ce43cd38c5f,other-closed,TIFF,d
,,x,,,,,,,,,,,,,,Stadtgrundkarte (Raumbezugsebene 1) ,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=5a383fc9-9ce3-48b7-b53b-13e5ff975e1a,other-closed,"TIFF,SHAPE,DXF",d
,,x,,,,,,,,,,,,,,Straßennamen,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=6f89cc89-695d-45ea-acb2-4b0f48f53814,other-closed,"XLS,TIFF,SHAPE,DXF,ASCII",d
,,x,,,,,,,,,,,,,,Bewertung von Erbbaurechten im Stadtgebiet BS,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=c2b2e8ef-8bdf-4b49-b29a-4532da6eaaeb,other-closed,,d
,,x,,,,,,,,,,,,,,Gemarkungs- und Flurübersicht Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=30370dbf-d695-4579-b142-0f921c68f9a7,other-closed,"TIFF,SHAPE,DXF,PDF",d
,,x,,,,,,,,,,,,,,Wahlbezirke und Wahllokale in Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=bdcd313e-624e-433d-8d6b-837fd91e7472,other-closed,"TIFF,SHAPE,DXF,PDF",d
,,x,,,,,,,,,,,,,,Historisch-Synoptische Karte der Innenstadt von Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=00d65eec-44d0-4446-b2c9-f083564a4126,other-closed,"TIFF,SHAPE,DXF,PDF",d
,,,,,,,,,x,,,,,,,Fahrradstadtplan Braunschweig,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b525a843-a20f-40b5-99fa-e2e7354248b5,other-closed,Papierkarte,d
,,x,,,,,,,,,,,,,,BLIK - Braunschweiger Leit- und Informationssystem für Kultur,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=724b0b87-c09b-4398-ada0-8419fa120244,other-closed,,d
,,x,,,,,,,,,,,,,,Siedlungsentwicklung Wohnbaugebiete,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=5eaf21ad-6816-4b2c-978a-8af8e5336d27,other-closed,"PDF,Papierkarte",d
,,,,,,,,,,,,,,,x,CSW-Schnittstelle Geoportal Niedersachsen,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=89c8a477-5339-4bcb-9730-a58bc0c0ad9c,nicht bekannt,,d
,,,,,,,,,,,,,,,x,CSW-Schnittstelle Geoportal.DE,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=b1a2c469-9d06-4aff-889f-9e5bcbd77e32,nicht bekannt,,d
,,,,,,,,,,,,,,,x,GISU Katalog,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=19fe252e-5a50-4744-9dea-6f6cfa6cce98,other-closed,,d
,,,,,,,,,,x,,,,,,Natur- und Landschaftsschutz,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=4956dc09-c8d6-43e7-bb49-63c592c3a84c,other-closed,"PDF,Karte",d
,,x,,,,,,,,,,,,,,Bewertung von Eigentumswohnungen im Stadtgebiet BS,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=e1e33616-3ea4-4f20-810f-5bb15b219da4,other-closed,,d
,,x,,,,,,,,,,,,,,Mieten verschiedener städtischer Immobilien im Stadtgebiet BS,http://geoportal.braunschweig.de/terraCatalog/Query/ShowCSWInfo.do;?fileIdentifier=12c42e05-44e5-48eb-ab82-c1215a0edd87,other-closed,,d
